provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,114830.4,120033,125892,134643
SUMATERA UTARA,107932.34,123015,126619,132451
SUMATERA BARAT,116426.12,127697,132291,141237
RIAU,131734.43,142957,147436,158976
JAMBI,100501.02,108973,116085,126067
SUMATERA SELATAN,101928.35,107685,112549,119702
BENGKULU,125225.38,135407,138121,149191
LAMPUNG,102954.58,108311,112551,121713
KEP. BANGKA BELITUNG,182017.46,193549,198343,215178
KEP. RIAU,188369.72,201968,206721,221050
DKI JAKARTA,198987.31,211437,215491,224134
JAWA BARAT,102311.77,107014,109994,114079
JAWA TENGAH,94827.43,98776,101781,105745
DI YOGYAKARTA,118822.06,126486,130166,138620
JAWA TIMUR,96897.56,101415,104574,108825
BANTEN,127852.39,137728,144818,152225
BALI,120176.38,126986,136013,142437
NUSA TENGGARA BARAT,95622.84,99662,103023,113012
NUSA TENGGARA TIMUR,78999.45,84286,88053,92941
KALIMANTAN BARAT,92716.93,101232,111385,117885
KALIMANTAN TENGAH,89461.96,95993,104754,115008
KALIMANTAN SELATAN,125666.42,137693,143292,150151
KALIMANTAN TIMUR,178650.19,191850,199033,207438
KALIMANTAN UTARA,165958.59,178863,186264,199041
SULAWESI UTARA,81782.88,89301,91444,93933
SULAWESI TENGAH,101178.63,108863,113352,119619
SULAWESI SELATAN,79099.04,84729,90832,96988
SULAWESI TENGGARA,79013.38,86578,92645,98446
GORONTALO,73011.51,80678,83441,91919
SULAWESI BARAT,72578.68,76976,81416,86540
MALUKU,113012.08,130898,144007,155467
MALUKU UTARA,95381.2,101087,107190,112927
PAPUA BARAT,128283.36,138104,150672,160036
PAPUA,129967.53,138869,143093,150066
INDONESIA,108647.91,115627,119943,126161
