provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,481997,507757.5,529174,559135
SUMATERA UTARA,450641,488541.5,503585.5,535212
SUMATERA BARAT,486993.5,530911.5,547602,579263
RIAU,488923.5,528468,550795.5,591726
JAMBI,447064.5,481315,503626,538592
SUMATERA SELATAN,410050.5,433564,447584.5,469168
BENGKULU,502332.5,534203,543204,586450
LAMPUNG,422627,446882.5,470718.5,504025.5
KEP. BANGKA BELITUNG,664126,715445,726655,772457
KEP. RIAU,557048.5,591234.5,608680,641158.5
DKI JAKARTA,607778,663355,683339,715052
JAWA BARAT,370032.5,396631.5,414020.5,435841.5
JAWA TENGAH,357416,381872.5,398333.5,423081.5
DI YOGYAKARTA,400812,432707,446248,477882.5
JAWA TIMUR,384063.5,403322.5,417399.5,443948.5
BANTEN,437268.5,470561.5,503291.5,532106.5
BALI,385361,405919,429475,452099.5
NUSA TENGGARA BARAT,374117,392889,408212,441618
NUSA TENGGARA TIMUR,382079,413162.5,436718.5,469981.5
KALIMANTAN BARAT,424138,459119,481484.5,513509
KALIMANTAN TENGAH,422098,454302.5,488916,518344
KALIMANTAN SELATAN,436273,477106.5,502283.5,526667
KALIMANTAN TIMUR,595603.5,635700.5,665734,699898
KALIMANTAN UTARA,614505.5,661498.5,686619.5,723211
SULAWESI UTARA,356836,379740,397660,417438.5
SULAWESI TENGAH,427866,470811.5,485722.5,508362.5
SULAWESI SELATAN,316987.5,342916.5,363127,386108
SULAWESI TENGGARA,317934,348150,371981,398088.5
GORONTALO,325251,352507,374825.5,400012.5
SULAWESI BARAT,324993.5,340243.5,354618,383445
MALUKU,475412,544230.5,575279,606830
MALUKU UTARA,432617,460048.5,477141.5,514114
PAPUA BARAT,564076.5,594958,618914.5,656516.5
PAPUA,533259,570773,592379,612614
INDONESIA,408962,438447.5,456689.5,483602
