"province","lat","lng"
"ACEH",5.55,95.3175
"SUMATERA UTARA",3.6667,98.6667
"SUMATERA BARAT",-0.9556,100.3606
"RIAU",0.5333,101.45
"JAMBI",-1.59,103.61
"SUMATERA SELATAN",-2.9833,104.7644
"BENGKULU",-3.7956,102.2592
"LAMPUNG",-5.4294,105.2625
"KEP. BANGKA BELITUNG",-2.1,106.1
"KEP. RIAU",1.0678,104.0167
"DKI JAKARTA",-6.2146,106.8451
"JAWA BARAT",-6.95,107.5667
"JAWA TENGAH",-6.9667,110.4167
"DI YOGYAKARTA",-7.8014,110.3644
"JAWA TIMUR",-7.2458,112.7378
"BANTEN",-6.12,106.1503
"BALI",-8.6667,115.2167
"NUSA TENGGARA BARAT",-8.5833,116.1167
"NUSA TENGGARA TIMUR",-10.1633,123.5778
"KALIMANTAN BARAT",-0.0206,109.3414
"KALIMANTAN TENGAH",-2.21,113.92
"KALIMANTAN SELATAN",-3.3333,114.5833
"KALIMANTAN TIMUR",-0.5022,117.1536
"KALIMANTAN UTARA",3.3,117.6333
"SULAWESI UTARA",1.4931,124.8413
"SULAWESI TENGAH",-0.895,119.8594
"SULAWESI SELATAN",-5.1331,119.4136
"SULAWESI TENGGARA",-3.9675,122.5947
"GORONTALO",0.5411,123.0594
"SULAWESI BARAT",-3.5336,118.966
"MALUKU",-3.705,128.17
"MALUKU UTARA",0.7833,127.3667
"PAPUA BARAT",-0.8667,131.25
"PAPUA",-2.5333,140.7167
