provinsi,tahun_2019,tahun_2020,tahun_2021
ACEH,11020,21415,33017
SUMATERA UTARA,12734,33560,50217
SUMATERA BARAT,16656,18791,36766
RIAU,7713,14240,23787
JAMBI,1971,3768,4556
SUMATERA SELATAN,2728,6697,16964
BENGKULU,1923,2922,3360
LAMPUNG,7204,8755,29517
KEP. BANGKA BELITUNG,1628,1027,3455
KEP. RIAU,1399,1403,6178
DKI JAKARTA,0,72,11961
JAWA BARAT,210084,154853,260659
JAWA TENGAH,57213,77888,184675
DI YOGYAKARTA,6437,12052,17774
JAWA TIMUR,99827,144909,216380
BANTEN,4449,13915,57358
BALI,4665,6198,4821
NUSA TENGGARA BARAT,74060,74060,80051
NUSA TENGGARA TIMUR,73377,71978,87210
KALIMANTAN BARAT,6091,11616,33255
KALIMANTAN TENGAH,4405,6733,8408
KALIMANTAN SELATAN,7485,7756,25590
KALIMANTAN TIMUR,1942,1942,11907
KALIMANTAN UTARA,2707,3930,5029
SULAWESI UTARA,276,1883,1007
SULAWESI TENGAH,0,5382,10177
SULAWESI SELATAN,3325,34913,49926
SULAWESI TENGGARA,2788,9485,9388
GORONTALO,4500,5824,4508
SULAWESI BARAT,16084,16084,17134
MALUKU,4562,7968,11365
MALUKU UTARA,2194,2194,4432
PAPUA BARAT,0,6066,7250
PAPUA,0,7658,13944
INDONESIA,651447,797937,1342026
