provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,831.5,809.76,833.91,850.26
SUMATERA UTARA,1291.99,1260.5,1356.72,1273.07
SUMATERA BARAT,353.24,343.09,364.79,339.93
RIAU,494.26,483.92,491.22,496.66
JAMBI,281.47,273.37,288.1,279.86
SUMATERA SELATAN,1076.4,1067.16,1119.65,1116.61
BENGKULU,303.55,298,306,291.79
LAMPUNG,1091.6,1041.48,1091.14,1007.02
KEP. BANGKA BELITUNG,69.93,67.37,72.05,69.7
KEP. RIAU,125.36,127.76,142.61,137.75
DKI JAKARTA,372.26,362.3,496.84,498.29
JAWA BARAT,3539.4,3375.89,4188.52,4004.86
JAWA TENGAH,3867.42,3679.4,4119.93,3934.01
DI YOGYAKARTA,450.25,440.89,503.14,474.49
JAWA TIMUR,4292.15,4056,4585.97,4259.6
BANTEN,668.74,641.42,857.64,852.28
BALI,168.34,156.91,196.92,211.46
NUSA TENGGARA BARAT,735.62,705.68,746.04,735.3
NUSA TENGGARA TIMUR,1134.11,1129.46,1173.53,1146.28
KALIMANTAN BARAT,369.73,370.47,370.71,354
KALIMANTAN TENGAH,136.45,131.24,141.78,141.03
KALIMANTAN SELATAN,195.01,190.29,206.92,197.76
KALIMANTAN TIMUR,222.39,220.91,243.99,233.13
KALIMANTAN UTARA,49.59,48.61,52.7,49.49
SULAWESI UTARA,189.05,188.6,195.85,186.55
SULAWESI TENGAH,413.49,404.03,403.74,381.21
SULAWESI SELATAN,779.64,759.58,800.24,765.46
SULAWESI TENGGARA,301.85,299.97,317.32,323.26
GORONTALO,188.3,184.71,185.31,184.6
SULAWESI BARAT,152.83,151.87,159.05,165.99
MALUKU,317.84,319.51,322.4,294.97
MALUKU UTARA,81.93,87.18,87.52,81.18
PAPUA BARAT,213.67,207.59,215.22,221.29
PAPUA,915.22,900.95,912.23,944.49
