provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,15.68,15.01,15.43,15.53
SUMATERA UTARA,8.94,8.63,9.14,8.49
SUMATERA BARAT,6.55,6.29,6.56,6.04
RIAU,7.21,6.9,7.04,7.000
JAMBI,7.85,7.51,7.97,7.67
SUMATERA SELATAN,12.82,12.56,12.98,12.79
BENGKULU,15.41,14.91,15.3,14.43
LAMPUNG,13.01,12.3,12.76,11.67
KEP. BANGKA BELITUNG,4.77,4.5,4.89,4.67
KEP. RIAU,5.83,5.8,6.13,5.75
DKI JAKARTA,3.55,3.42,4.69,4.67
JAWA BARAT,7.25,6.82,8.43,7.97
JAWA TENGAH,11.19,10.58,11.84,11.25
DI YOGYAKARTA,11.81,11.44,12.8,11.91
JAWA TIMUR,10.85,10.2,11.46,10.59
BANTEN,5.25,4.94,6.63,6.5
BALI,3.91,3.61,4.45,4.72
NUSA TENGGARA BARAT,14.63,13.88,14.23,13.83
NUSA TENGGARA TIMUR,21.03,20.62,21.21,20.44
KALIMANTAN BARAT,7.37,7.28,7.24,6.84
KALIMANTAN TENGAH,5.1,4.81,5.26,5.16
KALIMANTAN SELATAN,4.65,4.47,4.83,4.56
KALIMANTAN TIMUR,6.06,5.91,6.64,6.27
KALIMANTAN UTARA,6.86,6.49,7.41,6.83
SULAWESI UTARA,7.59,7.51,7.78,7.36
SULAWESI TENGAH,13.69,13.18,13.06,12.18
SULAWESI SELATAN,8.87,8.56,8.99,8.53
SULAWESI TENGGARA,11.32,11.04,11.69,11.74
GORONTALO,15.83,15.31,15.59,15.41
SULAWESI BARAT,11.22,10.95,11.5,11.85
MALUKU,17.85,17.65,17.99,16.3
MALUKU UTARA,6.62,6.91,6.97,6.38
PAPUA BARAT,22.66,21.51,21.7,21.82
PAPUA,27.43,26.55,26.8,27.38
INDONESIA,10.6,10.24,10.81,10.43
