provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,11.14,10.17,9.53,9.98
SUMATERA UTARA,7.92,7.13,6.32,5.87
SUMATERA BARAT,3.7,3.26,2.49,2.47
RIAU,3.8,3.63,3.26,2.52
JAMBI,7.52,6.87,6.21,5.91
SUMATERA SELATAN,14.44,14.58,14.31,13.24
BENGKULU,8.57,8.43,8.23,8.37
LAMPUNG,14.68,14.99,13.04,12.12
KEP. BANGKA BELITUNG,0.27,0.04,0.16,0.01
KEP. RIAU,1.22,0.56,1.84,1.59
DKI JAKARTA,0.23,0.29,0.07,0.18
JAWA BARAT,11.25,10.85,11.42,11.5
JAWA TENGAH,19.35,18.08,18.5,18.41
DI YOGYAKARTA,12.74,13.25,12.54,12.94
JAWA TIMUR,16.09,14.68,16.08,15.56
BANTEN,5.17,4.88,4.32,4.2
BALI,6.03,5.75,5.57,5.74
NUSA TENGGARA BARAT,19.63,18.44,18.25,16.3
NUSA TENGGARA TIMUR,31.41,31.7,31.45,29
KALIMANTAN BARAT,8.4,7.64,6.83,6.53
KALIMANTAN TENGAH,5.27,4.71,3.94,3.4
KALIMANTAN SELATAN,4.23,4.12,3.43,3.24
KALIMANTAN TIMUR,0.87,0.79,0.71,1.13
KALIMANTAN UTARA,1,0.86,0.34,0.31
SULAWESI UTARA,14,13.01,12.91,12.43
SULAWESI TENGAH,13.99,13.02,12.2,11.39
SULAWESI SELATAN,20.59,20.01,20.25,19.05
SULAWESI TENGGARA,24.46,22.84,21.7,21.73
GORONTALO,27.71,25.51,24.28,20.84
SULAWESI BARAT,24.28,25.23,25.33,25.74
MALUKU,13.85,10.75,8.93,7.73
MALUKU UTARA,7.65,6.6,6.88,6.34
PAPUA BARAT,14.95,11.28,12.03,10.84
PAPUA,18.83,17.8,16.29,13.35
INDONESIA,12.63,11.93,11.99,11.61
