provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,0.318,0.321,0.319,0.323
SUMATERA UTARA,0.311,0.315,0.314,0.313
SUMATERA BARAT,0.305,0.307,0.301,0.3
RIAU,0.347,0.331,0.321,0.327
JAMBI,0.335,0.324,0.316,0.315
SUMATERA SELATAN,0.341,0.339,0.338,0.34
BENGKULU,0.355,0.329,0.323,0.321
LAMPUNG,0.326,0.331,0.32,0.314
KEP. BANGKA BELITUNG,0.272,0.262,0.257,0.247
KEP. RIAU,0.339,0.337,0.334,0.339
DKI JAKARTA,0.39,0.391,0.4,0.411
JAWA BARAT,0.405,0.398,0.398,0.406
JAWA TENGAH,0.357,0.358,0.359,0.368
DI YOGYAKARTA,0.422,0.428,0.437,0.436
JAWA TIMUR,0.371,0.364,0.364,0.364
BANTEN,0.367,0.361,0.365,0.363
BALI,0.364,0.37,0.369,0.375
NUSA TENGGARA BARAT,0.391,0.374,0.386,0.384
NUSA TENGGARA TIMUR,0.359,0.355,0.356,0.339
KALIMANTAN BARAT,0.325,0.318,0.325,0.315
KALIMANTAN TENGAH,0.344,0.335,0.32,0.32
KALIMANTAN SELATAN,0.34,0.334,0.351,0.325
KALIMANTAN TIMUR,0.342,0.335,0.335,0.331
KALIMANTAN UTARA,0.304,0.292,0.3,0.285
SULAWESI UTARA,0.372,0.376,0.368,0.359
SULAWESI TENGAH,0.317,0.33,0.321,0.326
SULAWESI SELATAN,0.388,0.391,0.382,0.377
SULAWESI TENGGARA,0.392,0.393,0.388,0.394
GORONTALO,0.417,0.41,0.406,0.409
SULAWESI BARAT,0.366,0.365,0.356,0.366
MALUKU,0.326,0.32,0.326,0.316
MALUKU UTARA,0.336,0.31,0.29,0.278
PAPUA BARAT,0.391,0.381,0.376,0.374
PAPUA,0.398,0.391,0.395,0.396
INDONESIA,0.384,0.38,0.385,0.381
