provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,547668.08,559300,595634.83,643591.4
SUMATERA UTARA,554754.23,576323,598244.67,607811.56
SUMATERA BARAT,604871.24,609258,644852.66,668029.07
RIAU,599873.4,621748,668073.75,672142.73
JAMBI,555989.05,560542,590173.34,613752.76
SUMATERA SELATAN,503297.45,498929,535136.35,579031.72
BENGKULU,548879.18,542423,573499.58,580273.31
LAMPUNG,478451.88,484800,503976.2,539963.55
KEP. BANGKA BELITUNG,710401.17,751641,771121.02,783203.97
KEP. RIAU,747943.58,789057,800424.35,828206.18
DKI JAKARTA,847846.53,877449,944687.09,923932.8
JAWA BARAT,600966.61,629741,655838.24,677382.61
JAWA TENGAH,460891.08,469421,496173.09,519009.15
DI YOGYAKARTA,529012.33,546445,579279.07,594622.24
JAWA TIMUR,502760.6,502892,521577.12,557790.8
BANTEN,672917.64,702322,756673.23,744893.26
BALI,599976.09,609181,675145.59,628472.06
NUSA TENGGARA BARAT,525091.4,539864,574202.21,637897.8
NUSA TENGGARA TIMUR,402921.78,429498,442700.04,468252.17
KALIMANTAN BARAT,535533.56,561142,584259.49,603291.38
KALIMANTAN TENGAH,632492.71,650759,675947.95,713144.53
KALIMANTAN SELATAN,626241.39,628902,675978.56,701228
KALIMANTAN TIMUR,702905.18,724423,790469.29,736465.16
KALIMANTAN UTARA,671612.17,717752,743893.54,742833.93
SULAWESI UTARA,560514.33,568055,590061.88,612971.86
SULAWESI TENGAH,474810.78,505608,516838.74,512309.16
SULAWESI SELATAN,495464.54,487934,516183.11,533482.09
SULAWESI TENGGARA,457496.66,475215,506739.57,509723.28
GORONTALO,423925.99,452958,476069.17,529729.27
SULAWESI BARAT,433929.17,445427,457059.22,453030.94
MALUKU,491426.44,507218,532135.38,536326.5
MALUKU UTARA,502810.2,514251,537605.49,556903.28
PAPUA BARAT,614330.23,667673,687943.88,698303.14
PAPUA,623986.57,665292,723821,792780.9
INDONESIA,556899.25,572551,603235.72,622845.47
