provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,426149.27,434134,484536.41,494227.92
SUMATERA UTARA,446955.12,487641,526007.92,534905.1
SUMATERA BARAT,543759.42,555621,590197.45,613628.96
RIAU,587899.36,611498,672372.58,670527.59
JAMBI,496432.46,508445,536516.27,566507
SUMATERA SELATAN,466781.1,459890,486893.93,517375.56
BENGKULU,558899.08,553927,566575.09,558299.08
LAMPUNG,444185.79,444224,470447.72,490615.03
KEP. BANGKA BELITUNG,709094.02,758333,730722.53,748970.15
KEP. RIAU,826447.94,989093,973096.69,1027089.42
DKI JAKARTA,1191309.83,1278664,1313304.39,1412496.63
JAWA BARAT,617111.56,637136,669121.59,695276.49
JAWA TENGAH,477690.34,486982,522314.29,529599.86
DI YOGYAKARTA,773648.73,793281,832692.77,823248.11
JAWA TIMUR,503316.92,533285,542804.78,555211.15
BANTEN,711628.08,724060,760370.87,766363.4
BALI,767056.4,777972,834520.05,840152.05
NUSA TENGGARA BARAT,393107.84,489587,515561.39,559650.1
NUSA TENGGARA TIMUR,301832.28,321195,351661.11,372106.44
KALIMANTAN BARAT,493138.29,519227,540803.99,559766.88
KALIMANTAN TENGAH,591813.8,636442,657370.07,682681.29
KALIMANTAN SELATAN,600227.61,621460,659478.42,682572.4
KALIMANTAN TIMUR,857449.31,893217,963725.48,982145.65
KALIMANTAN UTARA,742960.64,738195,801795.67,811875.93
SULAWESI UTARA,601014.13,582728,621777.26,598707.81
SULAWESI TENGAH,465823.53,478032,518938.32,539396.49
SULAWESI SELATAN,520779.04,534484,541681.06,570614.67
SULAWESI TENGGARA,512252.73,546075,531059.69,560769.94
GORONTALO,475801.89,549906,592212.63,616060.84
SULAWESI BARAT,385717.2,395586,436701.42,439349.35
MALUKU,474411.17,495021,551786.07,576419.33
MALUKU UTARA,503588.16,511839,555218.26,572438.1
PAPUA BARAT,631186.81,700837,707070.04,749177.85
PAPUA,500709.37,549427,585893.36,575598.21
INDONESIA,567817.6,592690,622448.97,641744.27
