provinsi,tahun_2019,tahun_2020,tahun_2021
ACEH,22.0,13.4,12.1
SUMATERA UTARA,10.4,6.8,6.7
SUMATERA BARAT,19.6,17.5,15.1
RIAU,6.3,7.7,6.0
JAMBI,6.3,7.6,3.0
SUMATERA SELATAN,10.7,2.3,4.4
BENGKULU,11.2,8.3,6.3
LAMPUNG,5.3,5.3,6.1
KEP. BANGKA BELITUNG,4.3,3.3,5.9
KEP. RIAU,9.2,9.2,7.6
DKI JAKARTA,0,0.1,3.2
JAWA BARAT,10.1,9.0,8.3
JAWA TENGAH,11.9,13.1,9.0
DI YOGYAKARTA,9.2,11.9,10.6
JAWA TIMUR,11.5,11.5,10.7
BANTEN,2.8,4.9,6.7
BALI,8.9,9.4,5.0
NUSA TENGGARA BARAT,20.2,20.2,21.7
NUSA TENGGARA TIMUR,26.6,26.3,22.6
KALIMANTAN BARAT,24.3,27.4,21.0
KALIMANTAN TENGAH,21.5,22.2,10.8
KALIMANTAN SELATAN,20.5,13.1,10.4
KALIMANTAN TIMUR,14.5,14.5,11.8
KALIMANTAN UTARA,28.7,28.7,18.5
SULAWESI UTARA,1.7,5.3,3.0
SULAWESI TENGAH,0,13.7,13.2
SULAWESI SELATAN,6.6,11.9,10.4
SULAWESI TENGGARA,15.0,16.7,18.5
GORONTALO,11.1,11.0,8.5
SULAWESI BARAT,22.7,22.7,19.3
MALUKU,6.6,8.3,6.8
MALUKU UTARA,9.3,9.3,13.0
PAPUA BARAT,0,13.4,13.0
PAPUA,0,6.7,10.1
