provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,973817.35,993433,1080171.23,1137819.32
SUMATERA UTARA,1001709.36,1063964,1124252.59,1142716.66
SUMATERA BARAT,1148630.67,1164879,1235050.11,1281658.04
RIAU,1187772.76,1233245,1340446.33,1342670.32
JAMBI,1052421.51,1068987,1126689.61,1180259.76
SUMATERA SELATAN,970078.55,958819,1022030.29,1096407.27
BENGKULU,1107778.26,1096350,1140074.67,1138572.4
LAMPUNG,922637.67,929024,974423.91,1030578.58
KEP. BANGKA BELITUNG,1419495.19,1509974,1501843.55,1532174.12
KEP. RIAU,1574391.51,1778150,1773521.04,1855295.6
DKI JAKARTA,2039156.36,2156112,2257991.48,2336429.43
JAWA BARAT,1218078.17,1266877,1324959.83,1372659.1
JAWA TENGAH,938581.42,956403,1018487.38,1048609
DI YOGYAKARTA,1302661.06,1339726,1411971.84,1417870.35
JAWA TIMUR,1006077.52,1036177,1064381.9,1113001.95
BANTEN,1384545.72,1426382,1517044.1,1511256.67
BALI,1367032.49,1387154,1509665.64,1468624.11
NUSA TENGGARA BARAT,918199.24,1029451,1089763.6,1197547.9
NUSA TENGGARA TIMUR,704754.06,750693,794361.15,840358.61
KALIMANTAN BARAT,1028671.85,1080370,1125063.49,1163058.26
KALIMANTAN TENGAH,1224306.51,1287201,1333318.03,1395825.82
KALIMANTAN SELATAN,1226469,1250362,1335456.98,1383800.41
KALIMANTAN TIMUR,1560354.49,1617640,1754194.77,1718610.81
KALIMANTAN UTARA,1414572.81,1455947,1545689.21,1554709.86
SULAWESI UTARA,1161528.46,1150783,1211839.14,1211679.67
SULAWESI TENGAH,940634.31,983641,1035777.06,1051705.66
SULAWESI SELATAN,1016243.58,1022418,1057864.17,1104096.77
SULAWESI TENGGARA,969749.39,1021290,1037799.26,1070493.21
GORONTALO,899727.88,1002864,1068281.8,1145790.12
SULAWESI BARAT,819646.37,841013,893760.64,892380.3
MALUKU,965837.61,1002239,1083921.45,1112745.83
MALUKU UTARA,1006398.37,1026090,1092823.75,1129341.37
PAPUA BARAT,1245517.04,1368510,1395013.91,1447480.99
PAPUA,1124695.95,1214718,1309714.36,1368379.11
