provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,6.34,6.17,6.59,6.3
SUMATERA UTARA,5.55,5.39,6.91,6.33
SUMATERA BARAT,5.66,5.38,6.88,6.52
RIAU,5.98,5.76,6.32,4.42
JAMBI,3.73,4.06,5.13,5.09
SUMATERA SELATAN,4.27,4.53,5.51,4.98
BENGKULU,3.35,3.26,4.07,3.65
LAMPUNG,4.04,4.03,4.67,4.69
KEP. BANGKA BELITUNG,3.61,3.58,5.25,5.03
KEP. RIAU,8.04,7.5,10.34,9.91
DKI JAKARTA,6.65,6.54,10.95,8.5
JAWA BARAT,8.23,8.04,10.46,9.82
JAWA TENGAH,4.47,4.44,6.48,5.95
DI YOGYAKARTA,3.37,3.18,4.57,4.56
JAWA TIMUR,3.91,3.82,5.84,5.74
BANTEN,8.47,8.11,10.64,8.98
BALI,1.4,1.57,5.63,5.37
NUSA TENGGARA BARAT,3.58,3.28,4.22,3.01
NUSA TENGGARA TIMUR,2.85,3.14,4.28,3.77
KALIMANTAN BARAT,4.18,4.35,5.81,5.82
KALIMANTAN TENGAH,3.91,4.04,4.58,4.53
KALIMANTAN SELATAN,4.35,4.18,4.74,4.95
KALIMANTAN TIMUR,6.41,5.94,6.87,6.83
KALIMANTAN UTARA,5.11,4.49,4.97,4.58
SULAWESI UTARA,6.61,6.01,7.37,7.06
SULAWESI TENGAH,3.37,3.11,3.77,3.75
SULAWESI SELATAN,4.94,4.62,6.31,5.72
SULAWESI TENGGARA,3.19,3.52,4.58,3.92
GORONTALO,3.7,3.76,4.28,3.01
SULAWESI BARAT,3.01,2.98,3.32,3.13
MALUKU,6.95,6.69,7.57,6.93
MALUKU UTARA,4.63,4.81,5.15,4.71
PAPUA BARAT,6.45,6.43,6.8,5.84
PAPUA,3,3.51,4.28,3.33
